City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
458,Nara,JP,70.97,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
459,Sakakah,SA,78.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
460,Concepcion Del Oro,MX,75.9,scattered clouds,24.6333,-101.4167,Hotel Hacienda San Javier
461,Ambon,ID,78.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
463,Fallon,US,65.43,few clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
465,Hoquiam,US,63.54,overcast clouds,46.9809,-123.8893,Econo Lodge Inn & Suites
466,Gambela,ET,70.63,scattered clouds,8.25,34.5833,Solomon Debebe Hotel
468,Port-Cartier,CA,50.22,overcast clouds,50.0334,-66.8654,Le Q'Artier
472,Khandbari,NP,68.61,clear sky,27.3747,87.2039,Sainik Hotel And Lodge
474,Buta,CD,69.55,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
477,Rapid City,US,53.49,clear sky,44.0805,-103.231,"Hotel Alex Johnson Rapid City, Curio Collection by Hilton"
484,Tiznit,MA,72.81,clear sky,29.5833,-9.5,
486,San Benito Abad,CO,78.51,overcast clouds,8.929,-75.0271,"Tu casa en la villa "" Dónde la seño Cristina"""
487,Kiama,AU,61.38,light rain,-34.6833,150.8667,The Sebel Kiama Harbourside
490,Pasighat,IN,74.71,scattered clouds,28.0667,95.3333,Siang Guest House
492,Kalmunai,LK,79.34,scattered clouds,7.4167,81.8167,VS Villa
493,Kaduqli,SD,76.15,few clouds,11.0167,29.7167,فندق الله جابو
495,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
496,Margate,GB,51.96,clear sky,51.3813,1.3862,Premier Inn Margate hotel
497,Muros,ES,60.24,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
499,Goya,AR,60.98,clear sky,-29.14,-59.2626,Apart Costanera Goya
500,Stettler,CA,53.35,overcast clouds,52.3168,-112.7186,Ramada by Wyndham Stettler
501,Mayo,US,78.4,clear sky,38.8876,-76.5119,Resorts Resource Group International
503,Bonthe,SL,77.58,moderate rain,7.5264,-12.505,Bonthe Holiday Village
